moneda_base,moneda_destino,valor_compra,valor_venta,fecha_hora,fecha_carga
USD,XPF,110.3,111.2,2025-03-31 21:00:00,2025-04-01 21:24:28
USD,YER,245.65,246.25,2025-03-31 21:00:00,2025-04-01 21:24:28
USD,ZMK,28.41,28.51,2025-02-28 22:00:08,2025-04-01 21:24:28
AED,USD,0.272224,0.272283,2025-04-01 13:00:17,2025-04-01 21:24:28
DKK,USD,0.144716,0.144726,2025-04-01 16:36:46,2025-04-01 21:24:28
HKD,USD,0.128519,0.12852,2025-04-01 16:37:06,2025-04-01 21:24:28
MXN,USD,0.049067,0.0491393,2025-04-01 16:36:55,2025-04-01 21:24:28
NOK,USD,0.095573,0.095607,2025-04-01 16:37:13,2025-04-01 21:24:28
PLN,USD,0.25809,0.2582,2025-04-01 16:36:59,2025-04-01 21:24:28
RUB,USD,0.0118341,0.0118353,2025-04-01 16:37:06,2025-04-01 21:24:28
SAR,USD,0.266242,0.2669,2025-04-01 16:31:34,2025-04-01 21:24:28
SEK,USD,0.0999997,0.100013,2025-04-01 16:36:48,2025-04-01 21:24:28
TRY,USD,0.0263958,0.0264226,2025-04-01 16:36:47,2025-04-01 21:24:28
TWD,USD,0.030077,0.030086,2025-04-01 16:36:33,2025-04-01 21:24:28
VEF,USD,0.01553,0.01553,2025-02-28 21:59:15,2025-04-01 21:24:28
ZAR,USD,0.0542464,0.0542541,2025-04-01 16:36:45,2025-04-01 21:24:28
UYU,USD,0.02345,0.02401,2025-04-01 12:44:07,2025-04-01 21:24:28
PYG,USD,0.0001233,0.0001271,2025-04-01 11:19:05,2025-04-01 21:24:28
CLP,USD,0.00106033,0.001064,2025-04-01 16:33:31,2025-04-01 21:24:28
COP,USD,0.0002365,0.0002418,2025-04-01 16:36:56,2025-04-01 21:24:28
PEN,USD,0.27186,0.27209,2025-04-01 12:48:37,2025-04-01 21:24:28
NIO,USD,0.0268218,0.0275053,2025-04-01 11:19:05,2025-04-01 21:24:28
BOB,USD,0.140859,0.148618,2025-04-01 11:19:03,2025-04-01 21:24:28
KRW,USD,0.000679546,0.000679782,2025-04-01 16:36:39,2025-04-01 21:24:28
EGP,USD,0.0197656,0.0197837,2025-04-01 16:33:08,2025-04-01 21:24:28
USD,BYN,3.2666,3.27628,2025-04-01 16:37:13,2025-04-01 21:24:28
USD,MZN,63.25,64.55,2025-03-31 21:00:00,2025-04-01 21:24:28
INR,USD,0.011678,0.0116795,2025-04-01 16:36:45,2025-04-01 21:24:28
JOD,USD,1.40548,1.41543,2025-03-31 22:00:02,2025-04-01 21:24:28
KWD,USD,3.23388,3.25337,2025-04-01 16:31:35,2025-04-01 21:24:28
USD,AZN,1.7,1.7,2025-03-15 01:06:56,2025-04-01 21:24:28
USD,CNH,7.28245,7.28277,2025-04-01 16:36:34,2025-04-01 21:24:28
USD,KGS,87.015,87.0237,2025-03-19 01:47:24,2025-04-01 21:24:28
USD,TJS,10.7845,11.0162,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,RUB,84.4931,84.5015,2025-04-01 16:37:06,2025-04-01 21:24:28
MYR,USD,0.225225,0.225479,2025-04-01 00:22:11,2025-04-01 21:24:28
UAH,USD,0.0239897,0.024314,2025-04-01 11:19:05,2025-04-01 21:24:28
HUF,USD,0.00268685,0.00268829,2025-04-01 16:36:43,2025-04-01 21:24:28
IDR,USD,5.978e-05,5.981e-05,2025-04-01 16:35:53,2025-04-01 21:24:28
USD,AOA,912.0,915.0,2025-03-31 21:00:00,2025-04-01 21:24:28
VND,USD,3.89864e-05,3.9032e-05,2025-04-01 10:28:57,2025-04-01 21:24:28
BYN,USD,0.304992,0.305856,2025-04-01 11:19:04,2025-04-01 21:24:28
XBR,USD,72.89,73.11,2025-02-28 21:58:48,2025-04-01 21:24:28
THB,USD,0.0292184,0.0292509,2025-04-01 16:36:45,2025-04-01 21:24:28
PHP,USD,0.0174578,0.0174718,2025-04-01 16:36:44,2025-04-01 21:24:28
USD,TMT,3.36,3.66,2025-03-31 21:00:00,2025-04-01 21:24:28
XAGG,USD,1.0494,1.0505,2025-02-24 05:27:46,2025-04-01 21:24:28
USD,MNT,3465.0,3475.0,2025-02-28 21:23:08,2025-04-01 21:24:28
USD,AFN,70.8972,72.75,2025-04-01 11:19:04,2025-04-01 21:24:28
AFN,USD,0.0138889,0.0142857,2025-03-31 21:00:00,2025-04-01 21:24:28
SYP,USD,8e-05,8e-05,2025-02-27 22:00:03,2025-04-01 21:24:28
IRR,USD,2.374e-05,2.375e-05,2025-03-19 01:47:24,2025-04-01 21:24:28
IQD,USD,0.0007471,0.0007795,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,NGNI,365.0,366.0,2024-12-04 22:00:03,2025-04-01 21:24:28
USD,ZWL,25.233,27.89,2025-02-28 08:35:36,2025-04-01 21:24:28
BRL,ARS,188.735,188.833,2025-04-01 16:36:51,2025-04-01 21:24:28
BRL,AUD,0.280244,0.280932,2025-04-01 16:36:04,2025-04-01 21:24:28
BRL,CAD,0.251819,0.252438,2025-04-01 16:36:04,2025-04-01 21:24:28
BRL,CHF,0.155244,0.155396,2025-04-01 16:36:50,2025-04-01 21:24:28
BRL,CLP,165.3,166.46,2025-04-01 16:33:31,2025-04-01 21:24:28
BRL,DKK,1.21555,1.21611,2025-04-01 16:36:58,2025-04-01 21:24:28
BRL,HKD,1.36773,1.37109,2025-04-01 16:36:04,2025-04-01 21:24:28
BRL,JPY,26.296,26.308,2025-04-01 16:37:11,2025-04-01 21:24:28
BRL,MXN,3.5813,3.5847,2025-04-01 16:37:16,2025-04-01 21:24:28
